Company Name,ns_address,ipv4_address,ip6_address
Adguard,dns.adguard.com,176.103.130.130,NULL
Adguard,dns.adguard.com,176.103.130.131,NULL
Adguard,dns.adguard.com,NULL,2a00:5a60::ad1:0ff
Adguard,dns.adguard.com,NULL,2a00:5a60::ad2:0ff
Adguard,dns-family.adguard.com,176.103.130.132,NULL
Adguard,dns-family.adguard.com,176.103.130.134,NULL
Adguard,dns-family.adguard.com,NULL,2a00:5a60::bad1:0ff
Adguard,dns-family.adguard.com,NULL,2a00:5a60::bad2:0ff
Cleanbrowing,family-filter-dns.cleanbrowsing.org,185.228.168.168,NULL
Cleanbrowing,family-filter-dns.cleanbrowsing.org,185.228.169.168,NULL
Cleanbrowing,family-filter-dns.cleanbrowsing.org,NULL,2a0d:2a00:1::
Cleanbrowing,family-filter-dns.cleanbrowsing.org,NULL,2a0d:2a00:2::
Cleanbrowing,adult-filter-dns.cleanbrowsing.org,185.228.168.10,NULL
Cleanbrowing,adult-filter-dns.cleanbrowsing.org,185.228.169.11,NULL
Cleanbrowing,adult-filter-dns.cleanbrowsing.org,NULL,2a0d:2a00:1::1
Cleanbrowing,adult-filter-dns.cleanbrowsing.org,NULL,2a0d:2a00:2::1
Cleanbrowing,security-filter-dns.cleanbrowsing.org,185.228.168.9,NULL
Cleanbrowing,security-filter-dns.cleanbrowsing.org,185.228.169.9,NULL
Cleanbrowing,security-filter-dns.cleanbrowsing.org,NULL,2a0d:2a00:1::2
Cleanbrowing,security-filter-dns.cleanbrowsing.org,NULL,2a0d:2a00:2::2
Cloudflare,one.one.one.one,1.1.1.1,NULL
Cloudflare,one.one.one.one,NULL,2606:4700:4700::1111
Cloudflare,1dot1dot1dot1.cloudflare-dns.com,1.0.0.1,NULL
Cloudflare,1dot1dot1dot1.cloudflare-dns.com,NULL,2606:4700:4700::1001
Cloudflare,dns64.cloudflare-dns.com,NULL,2606:4700:4700::64
Cloudflare,dns64.cloudflare-dns.com,NULL,2606:4700:4700::6400
Comodo,ns1.recursive.dnsbycomodo.com,8.26.56.26,NULL
Comodo,ns2.recursive.dnsbycomodo.com,8.20.247.20,NULL
CZ,odvr.nic.cz,193.17.47.1,NULL
CZ,odvr.nic.cz,185.43.135.1,NULL
CZ,odvr.nic.cz,NULL,2001:148f:ffff::1
CZ,odvr.nic.cz,NULL,2001:148f:fffe::1
digitale-gesellschaft,dns.digitale-gesellschaft.ch,185.95.218.42,NULL
digitale-gesellschaft,dns.digitale-gesellschaft.ch,185.95.218.43,NULL
digitale-gesellschaft,dns.digitale-gesellschaft.ch,NULL,2a05:fc84::42
digitale-gesellschaft,dns.digitale-gesellschaft.ch,NULL,2a05:fc84::43
dnscrypt.ca,dns1.dnscrypt.ca,192.99.183.132,NULL
dnscrypt.ca,dns1.dnscrypt.ca,NULL,2607:5300:60:4aa8::600
dnscrypt.ca,dns2.dnscrypt.ca,149.56.228.45,NULL
dnscrypt.ca,dns2.dnscrypt.ca,NULL,2607:5300:120:b9b::200
DynDNS,resolver1.dyndnsinternetguide.com,216.146.35.35,NULL
DynDNS,resolver2.dyndnsinternetguide.com,216.146.36.36,NULL
DNS.SB,public-dns-a.dns.sb,185.222.222.222,NULL
DNS.SB,public-dns-a.dns.sb,NULL,2a09::
DNS.SB,public-dns-b.dns.sb,185.184.222.222,NULL
DNS.SB,public-dns-b.dns.sb,NULL,2a09::1
DNS.WATCH,resolver1.dns.watch,84.200.69.80,NULL
DNS.WATCH,resolver1.dns.watch,NULL,2001:1608:10:25::1c04:b12f
DNS.WATCH,resolver2.dns.watch,84.200.70.40,NULL
DNS.WATCH,resolver2.dns.watch,NULL,2001:1608:10:25::9249:d69b
Freenom,-,80.80.80.80,NULL
Freenom,-,80.80.81.81,NULL
Google,dns.google,8.8.8.8,NULL
Google,dns.google,8.8.8.8,NULL
Google,dns.google,NULL,2001:4860:4860::8888
Google,dns.google,NULL,2001:4860:4860::8844
